"ï»¿""Observation station""",Year,Month,Day,Snow depth [cm],Date,Average temperature [Â°C],cloud_code,Global radiation mean [W/m2]
Pelkosenniemi parish,2016,6,14,-1,2016-06-14,7.3,1.0,"138,1"
Pelkosenniemi parish,2016,6,15,-1,2016-06-15,8.3,7.0,"237,4"
Pelkosenniemi parish,2016,6,16,-1,2016-06-16,15.2,5.0,"271,1"
Pelkosenniemi parish,2016,6,17,-1,2016-06-17,12.3,7.0,"53,9"
Pelkosenniemi parish,2016,6,18,-1,2016-06-18,13.7,7.0,"165,5"
Pelkosenniemi parish,2016,6,19,-1,2016-06-19,10.1,7.0,"100,3"
Pelkosenniemi parish,2016,6,20,-1,2016-06-20,8.7,8.0,"194,3"
Pelkosenniemi parish,2016,6,21,-1,2016-06-21,11.1,8.0,"208,3"
Pelkosenniemi parish,2016,6,22,-1,2016-06-22,12.5,7.0,"196,4"
Pelkosenniemi parish,2016,6,23,-1,2016-06-23,14.3,0.0,318
Pelkosenniemi parish,2016,6,24,-1,2016-06-24,14.6,0.0,"186,4"
Pelkosenniemi parish,2016,6,25,-1,2016-06-25,13.4,0.0,"245,6"
Pelkosenniemi parish,2016,6,26,-1,2016-06-26,12.3,0.0,"234,9"
Pelkosenniemi parish,2016,6,27,-1,2016-06-27,15.3,0.0,"291,5"
Pelkosenniemi parish,2016,6,28,-1,2016-06-28,12.5,7.0,"73,3"
Pelkosenniemi parish,2016,6,29,-1,2016-06-29,14.3,7.0,"198,1"
Pelkosenniemi parish,2016,6,30,-1,2016-06-30,14.8,7.0,"236,8"
Pelkosenniemi parish,2016,7,1,-1,2016-07-01,15.1,5.0,"174,3"
Pelkosenniemi parish,2016,7,2,-1,2016-07-02,16.4,0.0,"226,5"
Pelkosenniemi parish,2016,7,3,-1,2016-07-03,16.5,1.0,"165,3"
Pelkosenniemi parish,2016,7,4,-1,2016-07-04,10.5,7.0,"63,2"
Pelkosenniemi parish,2016,7,5,-1,2016-07-05,16.2,7.0,"194,5"
Pelkosenniemi parish,2016,7,6,-1,2016-07-06,16.0,7.0,"208,3"
Pelkosenniemi parish,2016,7,7,-1,2016-07-07,15.2,7.0,"130,8"
Pelkosenniemi parish,2016,7,8,-1,2016-07-08,12.1,7.0,"61,4"
Pelkosenniemi parish,2016,7,9,-1,2016-07-09,10.3,7.0,"100,7"
Pelkosenniemi parish,2016,7,10,-1,2016-07-10,12.9,3.0,"183,5"
Pelkosenniemi parish,2016,7,11,-1,2016-07-11,16.9,1.0,"282,5"
Pelkosenniemi parish,2016,7,12,-1,2016-07-12,16.5,0.0,"227,8"
Pelkosenniemi parish,2016,7,13,-1,2016-07-13,13.3,8.0,"126,4"
Pelkosenniemi parish,2016,7,14,-1,2016-07-14,16.2,7.0,"283,6"
Pelkosenniemi parish,2016,7,15,-1,2016-07-15,16.7,7.0,"280,6"
Pelkosenniemi parish,2016,7,16,-1,2016-07-16,13.9,7.0,53
Pelkosenniemi parish,2016,7,17,-1,2016-07-17,12.6,7.0,"182,5"
Pelkosenniemi parish,2016,7,18,-1,2016-07-18,12.0,7.0,"163,8"
Pelkosenniemi parish,2016,7,19,-1,2016-07-19,12.3,1.0,"265,1"
Pelkosenniemi parish,2016,7,20,-1,2016-07-20,16.0,0.0,"275,3"
Pelkosenniemi parish,2016,7,21,-1,2016-07-21,18.5,0.0,"293,6"
Pelkosenniemi parish,2016,7,22,-1,2016-07-22,19.6,0.0,"292,8"
Pelkosenniemi parish,2016,7,23,-1,2016-07-23,17.4,0.0,"220,6"
Pelkosenniemi parish,2016,7,24,-1,2016-07-24,19.7,0.0,"286,6"
Pelkosenniemi parish,2016,7,25,-1,2016-07-25,19.6,1.0,"229,7"
Pelkosenniemi parish,2016,7,26,-1,2016-07-26,20.5,3.0,"255,6"
Pelkosenniemi parish,2016,7,27,-1,2016-07-27,17.5,3.0,"158,5"
Pelkosenniemi parish,2016,7,28,-1,2016-07-28,15.2,7.0,"104,4"
Pelkosenniemi parish,2016,7,29,-1,2016-07-29,17.0,7.0,"180,9"
Pelkosenniemi parish,2016,7,30,-1,2016-07-30,17.0,0.0,"175,5"
Pelkosenniemi parish,2016,7,31,-1,2016-07-31,14.0,3.0,"100,4"
Pelkosenniemi parish,2016,8,1,-1,2016-08-01,14.1,7.0,"153,1"
Pelkosenniemi parish,2016,8,2,-1,2016-08-02,12.8,5.0,"148,2"
Pelkosenniemi parish,2016,8,3,-1,2016-08-03,11.6,7.0,"164,1"
Pelkosenniemi parish,2016,8,4,-1,2016-08-04,13.3,7.0,"231,3"
Pelkosenniemi parish,2016,8,5,-1,2016-08-05,14.9,0.0,"252,4"
Pelkosenniemi parish,2016,8,6,-1,2016-08-06,15.8,7.0,"221,3"
Pelkosenniemi parish,2016,8,7,-1,2016-08-07,14.8,7.0,"139,5"
Pelkosenniemi parish,2016,8,8,-1,2016-08-08,15.0,0.0,"147,4"
Pelkosenniemi parish,2016,8,9,-1,2016-08-09,12.3,3.0,"129,9"
Pelkosenniemi parish,2016,8,10,-1,2016-08-10,10.1,0.0,"191,6"
Pelkosenniemi parish,2016,8,11,-1,2016-08-11,9.6,7.0,"133,2"
Pelkosenniemi parish,2016,8,12,-1,2016-08-12,7.9,3.0,"94,1"
Pelkosenniemi parish,2016,8,13,-1,2016-08-13,8.0,7.0,"101,1"
Pelkosenniemi parish,2016,8,14,-1,2016-08-14,8.5,7.0,"41,3"
Pelkosenniemi parish,2016,8,15,-1,2016-08-15,9.1,8.0,"47,8"
Pelkosenniemi parish,2016,8,16,-1,2016-08-16,8.4,8.0,"133,2"
Pelkosenniemi parish,2016,8,17,-1,2016-08-17,8.0,0.0,"98,1"
Pelkosenniemi parish,2016,8,18,-1,2016-08-18,11.9,7.0,"134,6"
Pelkosenniemi parish,2016,8,19,-1,2016-08-19,12.2,0.0,"97,3"
Pelkosenniemi parish,2016,8,20,-1,2016-08-20,14.0,8.0,"113,8"
Pelkosenniemi parish,2016,8,21,-1,2016-08-21,11.6,7.0,"86,5"
Pelkosenniemi parish,2016,8,22,-1,2016-08-22,12.4,7.0,"44,5"
Pelkosenniemi parish,2016,8,23,-1,2016-08-23,9.8,7.0,"69,6"
Pelkosenniemi parish,2016,8,24,-1,2016-08-24,8.4,7.0,202
Pelkosenniemi parish,2016,8,25,-1,2016-08-25,8.3,0.0,"58,8"
Pelkosenniemi parish,2016,8,26,-1,2016-08-26,8.5,7.0,"177,8"
Pelkosenniemi parish,2016,8,27,-1,2016-08-27,4.4,5.0,"18,9"
Pelkosenniemi parish,2016,8,28,-1,2016-08-28,4.2,5.0,"107,9"
Pelkosenniemi parish,2016,8,29,-1,2016-08-29,8.2,0.0,"178,7"
Pelkosenniemi parish,2016,8,30,-1,2016-08-30,8.7,0.0,"149,3"
Pelkosenniemi parish,2016,8,31,-1,2016-08-31,8.5,7.0,100
Pelkosenniemi parish,2016,9,1,-1,2016-09-01,11.1,7.0,"98,1"
Pelkosenniemi parish,2016,9,2,-1,2016-09-02,7.5,0.0,"81,7"
Pelkosenniemi parish,2016,9,3,-1,2016-09-03,4.8,0.0,"123,9"
Pelkosenniemi parish,2016,9,4,-1,2016-09-04,7.7,1.0,"127,1"
Pelkosenniemi parish,2016,9,5,-1,2016-09-05,5.1,7.0,"155,9"
Pelkosenniemi parish,2016,9,6,-1,2016-09-06,5.2,3.0,"161,8"
Pelkosenniemi parish,2016,9,7,-1,2016-09-07,7.2,7.0,
Pelkosenniemi parish,2016,9,8,-1,2016-09-08,6.4,8.0,
Pelkosenniemi parish,2016,9,9,-1,2016-09-09,7.5,7.0,"81,3"
Pelkosenniemi parish,2016,9,10,-1,2016-09-10,8.5,1.0,"104,6"
Pelkosenniemi parish,2016,9,11,-1,2016-09-11,8.7,7.0,"40,7"
Pelkosenniemi parish,2016,9,12,-1,2016-09-12,7.7,7.0,"45,8"
Pelkosenniemi parish,2016,9,13,-1,2016-09-13,5.2,0.0,"99,4"
Pelkosenniemi parish,2016,9,14,-1,2016-09-14,8.9,0.0,"84,5"
Pelkosenniemi parish,2016,9,15,-1,2016-09-15,7.2,5.0,"83,1"
Pelkosenniemi parish,2016,9,16,-1,2016-09-16,5.3,5.0,"69,2"
Pelkosenniemi parish,2016,9,17,-1,2016-09-17,6.4,7.0,"123,5"
Pelkosenniemi parish,2016,9,18,-1,2016-09-18,6.4,0.0,74
Pelkosenniemi parish,2016,9,19,-1,2016-09-19,9.3,7.0,"83,5"
Pelkosenniemi parish,2016,9,20,-1,2016-09-20,8.5,7.0,"25,5"
Pelkosenniemi parish,2016,9,21,-1,2016-09-21,8.8,9.0,"39,9"
Pelkosenniemi parish,2016,9,22,-1,2016-09-22,5.6,7.0,"22,2"
Pelkosenniemi parish,2016,9,23,-1,2016-09-23,5.2,8.0,"33,5"
Pelkosenniemi parish,2016,9,24,-1,2016-09-24,4.3,8.0,"25,2"
Pelkosenniemi parish,2016,9,25,-1,2016-09-25,5.6,8.0,"52,1"
Pelkosenniemi parish,2016,9,26,-1,2016-09-26,7.8,8.0,"18,5"
Pelkosenniemi parish,2016,9,27,-1,2016-09-27,8.9,7.0,12
Pelkosenniemi parish,2016,9,28,-1,2016-09-28,8.7,8.0,"19,3"
Pelkosenniemi parish,2016,9,29,-1,2016-09-29,6.7,8.0,19
Pelkosenniemi parish,2016,9,30,-1,2016-09-30,5.1,8.0,"17,2"
Pelkosenniemi parish,2016,10,1,-1,2016-10-01,4.4,7.0,"57,2"
Pelkosenniemi parish,2016,10,2,-1,2016-10-02,3.9,1.0,"81,5"
Pelkosenniemi parish,2016,10,3,-1,2016-10-03,1.5,0.0,"80,7"
Pelkosenniemi parish,2016,10,4,-1,2016-10-04,1.0,7.0,"77,8"
Pelkosenniemi parish,2016,10,5,-1,2016-10-05,2.4,0.0,"55,8"
Pelkosenniemi parish,2016,10,6,-1,2016-10-06,5.4,5.0,"59,4"
Pelkosenniemi parish,2016,10,7,-1,2016-10-07,3.5,7.0,"21,9"
Pelkosenniemi parish,2016,10,8,-1,2016-10-08,4.6,8.0,"25,1"
Pelkosenniemi parish,2016,10,9,-1,2016-10-09,2.6,8.0,"10,4"
Pelkosenniemi parish,2016,10,10,-1,2016-10-10,0.3,8.0,"15,7"
Pelkosenniemi parish,2016,10,11,-1,2016-10-11,-2.2,8.0,"19,1"
Pelkosenniemi parish,2016,10,12,-1,2016-10-12,0.9,7.0,"55,4"
Pelkosenniemi parish,2016,10,13,-1,2016-10-13,3.1,7.0,"29,2"
Pelkosenniemi parish,2016,10,14,-1,2016-10-14,4.0,8.0,"45,1"
Pelkosenniemi parish,2016,10,15,-1,2016-10-15,1.4,5.0,"10,9"
Pelkosenniemi parish,2016,10,16,-1,2016-10-16,-0.8,8.0,"9,2"
Pelkosenniemi parish,2016,10,17,0,2016-10-17,-2.4,8.0,19
Pelkosenniemi parish,2016,10,18,-1,2016-10-18,1.1,7.0,"8,5"
Pelkosenniemi parish,2016,10,19,-1,2016-10-19,2.3,8.0,"4,6"
Pelkosenniemi parish,2016,10,20,-1,2016-10-20,2.1,8.0,"13,3"
Pelkosenniemi parish,2016,10,21,-1,2016-10-21,2.1,5.0,"19,2"
Pelkosenniemi parish,2016,10,22,-1,2016-10-22,-0.8,8.0,"21,2"
Pelkosenniemi parish,2016,10,23,-1,2016-10-23,-2.5,7.0,"8,4"
Pelkosenniemi parish,2016,10,24,-1,2016-10-24,-1.6,8.0,"4,2"
Pelkosenniemi parish,2016,10,25,-1,2016-10-25,-2.2,8.0,"4,8"
Pelkosenniemi parish,2016,10,26,-1,2016-10-26,-4.8,8.0,
Pelkosenniemi parish,2016,10,27,1,2016-10-27,-4.3,8.0,
Pelkosenniemi parish,2016,10,28,1,2016-10-28,-0.6,8.0,
Pelkosenniemi parish,2016,10,29,-1,2016-10-29,-3.4,7.0,
Pelkosenniemi parish,2016,10,30,-1,2016-10-30,-1.7,8.0,
Pelkosenniemi parish,2016,10,31,1,2016-10-31,-1.0,7.0,
Pelkosenniemi parish,2016,11,1,-1,2016-11-01,-1.9,9.0,
Pelkosenniemi parish,2016,11,2,-1,2016-11-02,-3.0,8.0,
Pelkosenniemi parish,2016,11,3,1,2016-11-03,-4.4,7.0,
Pelkosenniemi parish,2016,11,4,2,2016-11-04,-8.5,7.0,
Pelkosenniemi parish,2016,11,5,2,2016-11-05,-10.4,1.0,
Pelkosenniemi parish,2016,11,6,2,2016-11-06,-10.0,8.0,
Pelkosenniemi parish,2016,11,7,2,2016-11-07,-9.4,5.0,
Pelkosenniemi parish,2016,11,8,2,2016-11-08,-8.9,1.0,"17,9"
Pelkosenniemi parish,2016,11,9,2,2016-11-09,-7.5,1.0,"5,2"
Pelkosenniemi parish,2016,11,10,2,2016-11-10,-10.6,7.0,"10,3"
Pelkosenniemi parish,2016,11,11,17,2016-11-11,-8.2,5.0,3
Pelkosenniemi parish,2016,11,12,7,2016-11-12,-9.3,5.0,"4,6"
Pelkosenniemi parish,2016,11,13,7,2016-11-13,-5.4,0.0,"3,5"
Pelkosenniemi parish,2016,11,14,7,2016-11-14,-5.9,8.0,"4,4"
Pelkosenniemi parish,2016,11,15,7,2016-11-15,-6.1,8.0,"2,3"
Pelkosenniemi parish,2016,11,16,8,2016-11-16,-3.3,8.0,"1,3"
Pelkosenniemi parish,2016,11,17,9,2016-11-17,-3.5,8.0,"1,1"
Pelkosenniemi parish,2016,11,18,10,2016-11-18,-1.7,7.0,"1,9"
Pelkosenniemi parish,2016,11,19,19,2016-11-19,-1.3,8.0,"0,9"
Pelkosenniemi parish,2016,11,20,13,2016-11-20,-0.9,7.0,"0,9"
Pelkosenniemi parish,2016,11,21,13,2016-11-21,-1.1,8.0,"0,4"
Pelkosenniemi parish,2016,11,22,12,2016-11-22,-1.8,8.0,"0,5"
Pelkosenniemi parish,2016,11,23,13,2016-11-23,-3.6,9.0,"1,6"
Pelkosenniemi parish,2016,11,24,13,2016-11-24,-6.1,8.0,1
Pelkosenniemi parish,2016,11,25,13,2016-11-25,-6.9,8.0,"1,5"
Pelkosenniemi parish,2016,11,26,18,2016-11-26,-8.3,8.0,"0,9"
Pelkosenniemi parish,2016,11,27,26,2016-11-27,-9.0,8.0,"0,1"
Pelkosenniemi parish,2016,11,28,26,2016-11-28,-9.8,0.0,"0,9"
Pelkosenniemi parish,2016,11,29,25,2016-11-29,-8.4,0.0,"0,5"
Pelkosenniemi parish,2016,11,30,26,2016-11-30,-4.9,8.0,"0,7"
Pelkosenniemi parish,2016,12,1,26,2016-12-01,-5.7,8.0,"0,5"
Pelkosenniemi parish,2016,12,2,27,2016-12-02,-7.5,8.0,"0,2"
Pelkosenniemi parish,2016,12,3,27,2016-12-03,-12.6,0.0,"0,2"
Pelkosenniemi parish,2016,12,4,27,2016-12-04,-11.7,0.0,0
Pelkosenniemi parish,2016,12,5,29,2016-12-05,-13.4,8.0,"0,1"
Pelkosenniemi parish,2016,12,6,29,2016-12-06,-12.4,0.0,"1,2"
Pelkosenniemi parish,2016,12,7,35,2016-12-07,-4.9,8.0,"-0,7"
Pelkosenniemi parish,2016,12,8,35,2016-12-08,-3.8,7.0,"-0,1"
Pelkosenniemi parish,2016,12,9,35,2016-12-09,-8.4,7.0,"-0,6"
Pelkosenniemi parish,2016,12,10,30,2016-12-10,-9.6,0.0,"-0,7"
Pelkosenniemi parish,2016,12,11,30,2016-12-11,-11.6,0.0,"-0,3"
Pelkosenniemi parish,2016,12,12,30,2016-12-12,-10.7,7.0,"0,1"
Pelkosenniemi parish,2016,12,13,30,2016-12-13,-7.4,7.0,"-0,2"
Pelkosenniemi parish,2016,12,14,28,2016-12-14,-8.7,0.0,"-0,1"
Pelkosenniemi parish,2016,12,15,28,2016-12-15,-3.2,3.0,"0,3"
Pelkosenniemi parish,2016,12,16,27,2016-12-16,-2.7,8.0,"-0,2"
Pelkosenniemi parish,2016,12,17,27,2016-12-17,-0.6,8.0,"-0,1"
Pelkosenniemi parish,2016,12,18,27,2016-12-18,-1.3,1.0,"-0,2"
Pelkosenniemi parish,2016,12,19,27,2016-12-19,-2.4,7.0,"0,2"
Pelkosenniemi parish,2016,12,20,22,2016-12-20,-0.6,8.0,"-0,7"
Pelkosenniemi parish,2016,12,21,22,2016-12-21,-2.3,0.0,"-0,7"
Pelkosenniemi parish,2016,12,22,22,2016-12-22,-3.2,8.0,"-0,6"
Pelkosenniemi parish,2016,12,23,22,2016-12-23,-4.7,7.0,"-0,8"
Pelkosenniemi parish,2016,12,24,22,2016-12-24,-5.9,0.0,"-0,2"
Pelkosenniemi parish,2016,12,25,32,2016-12-25,-6.1,9.0,"-0,1"
Pelkosenniemi parish,2016,12,26,32,2016-12-26,-9.2,8.0,"-0,1"
Pelkosenniemi parish,2016,12,27,32,2016-12-27,-9.3,7.0,"-0,2"
Pelkosenniemi parish,2016,12,28,32,2016-12-28,-6.0,7.0,"0,1"
Pelkosenniemi parish,2016,12,29,33,2016-12-29,-2.7,7.0,"-0,8"
Pelkosenniemi parish,2016,12,30,33,2016-12-30,-2.3,0.0,"-1,1"
Pelkosenniemi parish,2016,12,31,29,2016-12-31,-4.8,7.0,"-0,7"
Pelkosenniemi parish,2017,1,1,30,2017-01-01,-7.6,7.0,0
Pelkosenniemi parish,2017,1,2,31,2017-01-02,-10.1,7.0,0
Pelkosenniemi parish,2017,1,3,35,2017-01-03,-16.9,8.0,"-0,1"
Pelkosenniemi parish,2017,1,4,35,2017-01-04,-21.6,7.0,"0,3"
Pelkosenniemi parish,2017,1,5,35,2017-01-05,-20.5,0.0,"0,8"
Pelkosenniemi parish,2017,1,6,35,2017-01-06,-16.5,5.0,"0,7"
Pelkosenniemi parish,2017,1,7,37,2017-01-07,-8.5,7.0,"-0,1"
Pelkosenniemi parish,2017,1,8,37,2017-01-08,-5.1,0.0,"-0,4"
Pelkosenniemi parish,2017,1,9,38,2017-01-09,-5.3,8.0,"-0,4"
Pelkosenniemi parish,2017,1,10,38,2017-01-10,-5.5,0.0,"1,1"
Pelkosenniemi parish,2017,1,11,39,2017-01-11,-2.4,8.0,0
Pelkosenniemi parish,2017,1,12,40,2017-01-12,-8.0,7.0,"-0,2"
Pelkosenniemi parish,2017,1,13,40,2017-01-13,-7.8,8.0,"0,6"
Pelkosenniemi parish,2017,1,14,40,2017-01-14,-9.5,8.0,"1,4"
Pelkosenniemi parish,2017,1,15,45,2017-01-15,-9.6,8.0,"2,8"
Pelkosenniemi parish,2017,1,16,45,2017-01-16,-6.1,8.0,"1,7"
Pelkosenniemi parish,2017,1,17,45,2017-01-17,-7.0,7.0,"0,5"
Pelkosenniemi parish,2017,1,18,45,2017-01-18,-4.8,7.0,"1,2"
Pelkosenniemi parish,2017,1,19,35,2017-01-19,-4.5,5.0,"0,2"
Pelkosenniemi parish,2017,1,20,40,2017-01-20,-9.8,0.0,"2,6"
Pelkosenniemi parish,2017,1,21,40,2017-01-21,-9.7,0.0,"3,2"
Pelkosenniemi parish,2017,1,22,40,2017-01-22,-8.4,7.0,3
Pelkosenniemi parish,2017,1,23,40,2017-01-23,-9.8,7.0,4
Pelkosenniemi parish,2017,1,24,40,2017-01-24,-10.9,8.0,"5,9"
Pelkosenniemi parish,2017,1,25,40,2017-01-25,-7.5,5.0,"1,7"
Pelkosenniemi parish,2017,1,26,38,2017-01-26,-2.3,7.0,"4,5"
Pelkosenniemi parish,2017,1,27,38,2017-01-27,1.0,7.0,"10,2"
Pelkosenniemi parish,2017,1,28,38,2017-01-28,-1.9,0.0,"4,2"
Pelkosenniemi parish,2017,1,29,38,2017-01-29,-4.0,0.0,"2,4"
Pelkosenniemi parish,2017,1,30,38,2017-01-30,-4.8,8.0,"5,2"
Pelkosenniemi parish,2017,1,31,37,2017-01-31,-9.0,8.0,"4,3"
Pelkosenniemi parish,2017,2,1,37,2017-02-01,-11.4,7.0,"10,6"
Pelkosenniemi parish,2017,2,2,37,2017-02-02,-10.5,7.0,"4,6"
Pelkosenniemi parish,2017,2,3,37,2017-02-03,-8.2,8.0,"4,1"
Pelkosenniemi parish,2017,2,4,37,2017-02-04,-8.6,8.0,"7,1"
Pelkosenniemi parish,2017,2,5,37,2017-02-05,-8.9,8.0,"6,7"
Pelkosenniemi parish,2017,2,6,37,2017-02-06,-9.7,7.0,"4,7"
Pelkosenniemi parish,2017,2,7,37,2017-02-07,-12.2,7.0,"9,1"
Pelkosenniemi parish,2017,2,8,37,2017-02-08,-12.7,8.0,13
Pelkosenniemi parish,2017,2,9,38,2017-02-09,-6.4,8.0,"17,5"
Pelkosenniemi parish,2017,2,10,38,2017-02-10,-8.2,8.0,"11,1"
Pelkosenniemi parish,2017,2,11,38,2017-02-11,-11.1,8.0,18
Pelkosenniemi parish,2017,2,12,38,2017-02-12,-9.9,0.0,5
Pelkosenniemi parish,2017,2,13,37,2017-02-13,0.7,0.0,"16,5"
Pelkosenniemi parish,2017,2,14,36,2017-02-14,-3.1,5.0,15
Pelkosenniemi parish,2017,2,15,36,2017-02-15,-5.2,0.0,"13,5"
Pelkosenniemi parish,2017,2,16,36,2017-02-16,-4.8,8.0,"16,3"
Pelkosenniemi parish,2017,2,17,36,2017-02-17,-5.1,7.0,"17,7"
Pelkosenniemi parish,2017,2,18,40,2017-02-18,-8.8,8.0,"22,7"
Pelkosenniemi parish,2017,2,19,40,2017-02-19,-12.7,8.0,"19,7"
Pelkosenniemi parish,2017,2,20,40,2017-02-20,-11.7,7.0,"15,7"
Pelkosenniemi parish,2017,2,21,43,2017-02-21,-12.5,8.0,"39,1"
Pelkosenniemi parish,2017,2,22,43,2017-02-22,-13.0,3.0,26
Pelkosenniemi parish,2017,2,23,44,2017-02-23,-13.5,7.0,"19,8"
Pelkosenniemi parish,2017,2,24,52,2017-02-24,-13.2,7.0,"29,2"
Pelkosenniemi parish,2017,2,25,53,2017-02-25,-11.9,7.0,"30,5"
Pelkosenniemi parish,2017,2,26,57,2017-02-26,-12.5,0.0,"57,7"
Pelkosenniemi parish,2017,2,27,56,2017-02-27,-7.9,7.0,"41,4"
Pelkosenniemi parish,2017,2,28,56,2017-02-28,-10.2,7.0,"27,8"
Pelkosenniemi parish,2017,3,1,56,2017-03-01,-7.2,8.0,"15,5"
Pelkosenniemi parish,2017,3,2,59,2017-03-02,-7.9,8.0,"28,2"
Pelkosenniemi parish,2017,3,3,61,2017-03-03,-9.1,0.0,34
Pelkosenniemi parish,2017,3,4,61,2017-03-04,-9.0,7.0,56
Pelkosenniemi parish,2017,3,5,59,2017-03-05,-9.2,7.0,"63,9"
Pelkosenniemi parish,2017,3,6,58,2017-03-06,-7.5,8.0,"78,4"
Pelkosenniemi parish,2017,3,7,58,2017-03-07,-7.5,0.0,"81,8"
Pelkosenniemi parish,2017,3,8,58,2017-03-08,-8.4,0.0,"22,7"
Pelkosenniemi parish,2017,3,9,58,2017-03-09,-4.8,7.0,"31,6"
Pelkosenniemi parish,2017,3,10,67,2017-03-10,-7.2,8.0,"79,9"
Pelkosenniemi parish,2017,3,11,65,2017-03-11,-5.3,0.0,"69,7"
Pelkosenniemi parish,2017,3,12,62,2017-03-12,-3.9,0.0,"78,4"
Pelkosenniemi parish,2017,3,13,61,2017-03-13,-4.9,7.0,59
Pelkosenniemi parish,2017,3,14,61,2017-03-14,-1.9,7.0,"34,1"
Pelkosenniemi parish,2017,3,15,64,2017-03-15,-2.1,8.0,"53,8"
Pelkosenniemi parish,2017,3,16,59,2017-03-16,-2.4,5.0,"101,7"
Pelkosenniemi parish,2017,3,17,59,2017-03-17,-3.0,7.0,"41,5"
Pelkosenniemi parish,2017,3,18,60,2017-03-18,-3.2,8.0,"45,4"
Pelkosenniemi parish,2017,3,19,59,2017-03-19,-8.9,0.0,"113,8"
Pelkosenniemi parish,2017,3,20,59,2017-03-20,-7.0,0.0,"124,3"
Pelkosenniemi parish,2017,3,21,59,2017-03-21,-4.7,0.0,"113,6"
Pelkosenniemi parish,2017,3,22,60,2017-03-22,-3.1,8.0,"43,8"
Pelkosenniemi parish,2017,3,23,62,2017-03-23,-3.8,8.0,"66,2"
Pelkosenniemi parish,2017,3,24,62,2017-03-24,-5.2,7.0,"135,4"
Pelkosenniemi parish,2017,3,25,61,2017-03-25,-4.5,0.0,"127,9"
Pelkosenniemi parish,2017,3,26,61,2017-03-26,-1.3,8.0,"118,4"
Pelkosenniemi parish,2017,3,27,58,2017-03-27,-4.3,8.0,96
Pelkosenniemi parish,2017,3,28,58,2017-03-28,-8.2,0.0,"125,3"
Pelkosenniemi parish,2017,3,29,58,2017-03-29,-9.1,0.0,"156,6"
Pelkosenniemi parish,2017,3,30,58,2017-03-30,-8.0,5.0,"157,7"
Pelkosenniemi parish,2017,3,31,58,2017-03-31,-6.5,0.0,"162,1"
Pelkosenniemi parish,2017,4,1,58,2017-04-01,-5.6,7.0,"141,1"
Pelkosenniemi parish,2017,4,2,58,2017-04-02,-6.2,7.0,"169,8"
Pelkosenniemi parish,2017,4,3,57,2017-04-03,-4.7,7.0,111
Pelkosenniemi parish,2017,4,4,57,2017-04-04,0.1,7.0,"76,6"
Pelkosenniemi parish,2017,4,5,49,2017-04-05,0.1,8.0,162
Pelkosenniemi parish,2017,4,6,45,2017-04-06,-2.7,7.0,"92,4"
Pelkosenniemi parish,2017,4,7,45,2017-04-07,-3.8,7.0,"102,7"
Pelkosenniemi parish,2017,4,8,48,2017-04-08,-7.0,7.0,"192,5"
Pelkosenniemi parish,2017,4,9,46,2017-04-09,-6.0,0.0,"141,2"
Pelkosenniemi parish,2017,4,10,45,2017-04-10,-4.2,8.0,"101,1"
Pelkosenniemi parish,2017,4,11,47,2017-04-11,-5.4,8.0,"119,9"
Pelkosenniemi parish,2017,4,12,45,2017-04-12,-6.8,0.0,"147,6"
Pelkosenniemi parish,2017,4,13,45,2017-04-13,-8.9,0.0,"158,3"
Pelkosenniemi parish,2017,4,14,45,2017-04-14,-7.3,7.0,"140,8"
Pelkosenniemi parish,2017,4,15,45,2017-04-15,-6.8,8.0,"147,7"
Pelkosenniemi parish,2017,4,16,45,2017-04-16,-6.1,0.0,"120,5"
Pelkosenniemi parish,2017,4,17,44,2017-04-17,-6.1,7.0,"220,1"
Pelkosenniemi parish,2017,4,18,44,2017-04-18,-4.8,0.0,"207,1"
Pelkosenniemi parish,2017,4,19,43,2017-04-19,-3.3,1.0,"176,2"
Pelkosenniemi parish,2017,4,20,43,2017-04-20,-3.4,1.0,"120,5"
Pelkosenniemi parish,2017,4,21,45,2017-04-21,-2.4,7.0,"160,7"
Pelkosenniemi parish,2017,4,22,43,2017-04-22,-2.4,5.0,"102,9"
Pelkosenniemi parish,2017,4,23,43,2017-04-23,-3.8,8.0,"132,9"
Pelkosenniemi parish,2017,4,24,43,2017-04-24,-4.2,0.0,"236,9"
Pelkosenniemi parish,2017,4,25,42,2017-04-25,-3.2,7.0,"174,5"
Pelkosenniemi parish,2017,4,26,40,2017-04-26,-3.2,8.0,"132,2"
Pelkosenniemi parish,2017,4,27,40,2017-04-27,-3.5,8.0,"160,8"
Pelkosenniemi parish,2017,4,28,40,2017-04-28,-1.9,1.0,"203,9"
Pelkosenniemi parish,2017,4,29,39,2017-04-29,0.4,0.0,"268,2"
Pelkosenniemi parish,2017,4,30,35,2017-04-30,-2.1,0.0,"55,2"
Pelkosenniemi parish,2017,5,1,35,2017-05-01,-1.1,9.0,"156,4"
Pelkosenniemi parish,2017,5,2,27,2017-05-02,0.1,5.0,"203,3"
Pelkosenniemi parish,2017,5,3,23,2017-05-03,-0.5,7.0,"127,5"
Pelkosenniemi parish,2017,5,4,21,2017-05-04,1.4,7.0,"201,1"
Pelkosenniemi parish,2017,5,5,18,2017-05-05,3.1,0.0,"139,5"
Pelkosenniemi parish,2017,5,6,10,2017-05-06,-3.4,0.0,"150,6"
